Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
4000,QLD,Hybrid,2511, $800-$999, 85 years and over,6,899.5,85+
4000,QLD,Hybrid,2511," $3,000-$3499", 55-64 years,75,3249.5,59.5
4000,QLD,Hybrid,2511, $400-$499, 15-19 years,86,449.5,17.0
4000,QLD,Hybrid,2511, Total, 75-84 years,421,0,79.5
4000,QLD,Hybrid,2511, $150-$299, 15-19 years,151,224.5,17.0
4000,QLD,Hybrid,2511, $300-$399, 45-54 years,79,349.5,49.5
4000,QLD,Hybrid,2511, $500-$649, 75-84 years,45,574.5,79.5
4000,QLD,Hybrid,2511, $500-$649, 15-19 years,81,574.5,17.0
4000,QLD,Hybrid,2511," $1,000-$1,249", 65-74 years,78,1124.5,69.5
4000,QLD,Hybrid,2511, $800-$999, 25-34 years,739,899.5,29.5
4000,QLD,Hybrid,2511, Not stated, 25-34 years,603,0,29.5
4000,QLD,Hybrid,2511," $1,250-$1,499", 75-84 years,24,1374.5,79.5
4000,QLD,Hybrid,2511," $1,750-$1,999", 25-34 years,318,1874.5,29.5
4000,QLD,Hybrid,2511, Total, 20-24 years,3067,0,22.0
4000,QLD,Hybrid,2511," $1,500-$1,749", 55-64 years,110,1624.5,59.5
4000,QLD,Hybrid,2511, $300-$399, 20-24 years,279,349.5,22.0
4000,QLD,Hybrid,2511," $1,000-$1,249", 35-44 years,248,1124.5,39.5
4000,QLD,Hybrid,2511, $1-$149, 75-84 years,10,75.0,79.5
4000,QLD,Hybrid,2511, $650-$799, 15-19 years,53,724.5,17.0
4000,QLD,Hybrid,2511, Negative/Nil income, 55-64 years,143,0,59.5
4000,QLD,Hybrid,2511," $1,500-$1,749", 75-84 years,15,1624.5,79.5
4000,QLD,Hybrid,2511, $400-$499, 35-44 years,93,449.5,39.5
4000,QLD,Hybrid,2511," $1,250-$1,499", 55-64 years,95,1374.5,59.5
4000,QLD,Hybrid,2511, Not stated, 15-19 years,69,0,17.0
4000,QLD,Hybrid,2511," $2,000-$2,999", 65-74 years,58,2499.5,69.5
4000,QLD,Hybrid,2511," $1,500-$1,749", 15-19 years,3,1624.5,17.0
4000,QLD,Hybrid,2511, Not stated, 45-54 years,179,0,49.5
4000,QLD,Hybrid,2511," $1,000-$1,249", 20-24 years,254,1124.5,22.0
4000,QLD,Hybrid,2511," $1,500-$1,749", 35-44 years,227,1624.5,39.5
4000,QLD,Hybrid,2511, $300-$399, 75-84 years,42,349.5,79.5
4000,QLD,Hybrid,2511, $800-$999, 45-54 years,105,899.5,49.5
4000,QLD,Hybrid,2511, $150-$299, 25-34 years,105,224.5,29.5
4000,QLD,Hybrid,2511, Negative/Nil income, 15-19 years,337,0,17.0
4000,QLD,Hybrid,2511, Negative/Nil income, 85 years and over,7,0,85+
4000,QLD,Hybrid,2511, Negative/Nil income, 75-84 years,25,0,79.5
4000,QLD,Hybrid,2511," $1,500-$1,749", 25-34 years,495,1624.5,29.5
4000,QLD,Hybrid,2511," $2,000-$2,999", 45-54 years,363,2499.5,49.5
4000,QLD,Hybrid,2511, $500-$649, 20-24 years,325,574.5,22.0
4000,QLD,Hybrid,2511, $1-$149, 45-54 years,15,75.0,49.5
4000,QLD,Hybrid,2511, Negative/Nil income, 20-24 years,493,0,22.0
4000,QLD,Hybrid,2511, $500-$649, 35-44 years,153,574.5,39.5
4000,QLD,Hybrid,2511," $3,500 or more", 20-24 years,13,3500+,22.0
4000,QLD,Hybrid,2511, $150-$299, 85 years and over,6,224.5,85+
4000,QLD,Hybrid,2511, Negative/Nil income, 25-34 years,405,0,29.5
4000,QLD,Hybrid,2511, $500-$649, 25-34 years,536,574.5,29.5
4000,QLD,Hybrid,2511," $1,500-$1,749", 45-54 years,142,1624.5,49.5
4000,QLD,Hybrid,2511, Not stated, 55-64 years,180,0,59.5
4000,QLD,Hybrid,2511, $400-$499, 65-74 years,109,449.5,69.5
4000,QLD,Hybrid,2511, $300-$399, 55-64 years,73,349.5,59.5
4000,QLD,Hybrid,2511," $1,500-$1,749", 20-24 years,80,1624.5,22.0
4000,QLD,Hybrid,2511," $2,000-$2,999", 35-44 years,535,2499.5,39.5
4000,QLD,Hybrid,2511, Not stated, 65-74 years,100,0,69.5
4000,QLD,Hybrid,2511," $3,000-$3499", 75-84 years,8,3249.5,79.5
4000,QLD,Hybrid,2511, $300-$399, 25-34 years,240,349.5,29.5
4000,QLD,Hybrid,2511, $500-$649, 45-54 years,66,574.5,49.5
4000,QLD,Hybrid,2511, Not stated, 35-44 years,334,0,39.5
4000,QLD,Hybrid,2511, Total, 45-54 years,2047,0,49.5
4000,QLD,Hybrid,2511, $150-$299, 55-64 years,46,224.5,59.5
4000,QLD,Hybrid,2511, $500-$649, 65-74 years,94,574.5,69.5
4000,QLD,Hybrid,2511, $500-$649, 85 years and over,9,574.5,85+
4000,QLD,Hybrid,2511," $1,000-$1,249", 15-19 years,15,1124.5,17.0
4000,QLD,Hybrid,2511, $150-$299, 35-44 years,66,224.5,39.5
4000,QLD,Hybrid,2511, Not stated, 20-24 years,223,0,22.0
4000,QLD,Hybrid,2511, Not stated, 85 years and over,14,0,85+
4000,QLD,Hybrid,2511," $2,000-$2,999", 75-84 years,21,2499.5,79.5
4000,QLD,Hybrid,2511, $800-$999, 55-64 years,90,899.5,59.5
4000,QLD,Hybrid,2511, Negative/Nil income, 65-74 years,83,0,69.5
4000,QLD,Hybrid,2511," $3,000-$3499", 25-34 years,97,3249.5,29.5
4000,QLD,Hybrid,2511," $1,500-$1,749", 85 years and over,7,1624.5,85+
4008,QLD,Hybrid,1812, Total, 75-84 years,16,0,79.5
