Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
4350,QLD,Internal Combustion Engine,87602," $1,000-$1,249", 65-74 years,708,1124.5,69.5
4350,QLD,Internal Combustion Engine,87602," $1,750-$1,999", 25-34 years,852,1874.5,29.5
4350,QLD,Internal Combustion Engine,87602, Negative/Nil income, 35-44 years,549,0,39.5
4350,QLD,Internal Combustion Engine,87602," $3,000-$3499", 85 years and over,10,3249.5,85+
4350,QLD,Internal Combustion Engine,87602, $500-$649, 55-64 years,941,574.5,59.5
4350,QLD,Internal Combustion Engine,87602, $300-$399, 65-74 years,1893,349.5,69.5
4350,QLD,Internal Combustion Engine,87602, $1-$149, 75-84 years,156,75.0,79.5
4350,QLD,Internal Combustion Engine,87602, $650-$799, 15-19 years,303,724.5,17.0
4350,QLD,Internal Combustion Engine,87602, $150-$299, 85 years and over,158,224.5,85+
4350,QLD,Internal Combustion Engine,87602, $150-$299, 20-24 years,546,224.5,22.0
4350,QLD,Internal Combustion Engine,87602," $1,250-$1,499", 45-54 years,1237,1374.5,49.5
4350,QLD,Internal Combustion Engine,87602," $3,500 or more", 55-64 years,331,3500+,59.5
4350,QLD,Internal Combustion Engine,87602, $650-$799, 55-64 years,906,724.5,59.5
4350,QLD,Internal Combustion Engine,87602," $3,000-$3499", 20-24 years,12,3249.5,22.0
4350,QLD,Internal Combustion Engine,87602," $1,500-$1,749", 85 years and over,37,1624.5,85+
4350,QLD,Internal Combustion Engine,87602," $2,000-$2,999", 35-44 years,1385,2499.5,39.5
4350,QLD,Internal Combustion Engine,87602, Negative/Nil income, 75-84 years,264,0,79.5
4350,QLD,Internal Combustion Engine,87602," $3,500 or more", 65-74 years,158,3500+,69.5
4350,QLD,Internal Combustion Engine,87602, $150-$299, 75-84 years,379,224.5,79.5
4350,QLD,Internal Combustion Engine,87602, Not stated, 25-34 years,937,0,29.5
4350,QLD,Internal Combustion Engine,87602, $400-$499, 45-54 years,667,449.5,49.5
4350,QLD,Internal Combustion Engine,87602," $1,500-$1,749", 25-34 years,1400,1624.5,29.5
4350,QLD,Internal Combustion Engine,87602, $800-$999, 85 years and over,116,899.5,85+
4350,QLD,Internal Combustion Engine,87602, $500-$649, 15-19 years,391,574.5,17.0
4350,QLD,Internal Combustion Engine,87602, $500-$649, 20-24 years,847,574.5,22.0
4350,QLD,Internal Combustion Engine,87602, $1-$149, 35-44 years,175,75.0,39.5
4350,QLD,Internal Combustion Engine,87602, Total, 15-19 years,7608,0,17.0
4350,QLD,Internal Combustion Engine,87602," $3,500 or more", 15-19 years,6,3500+,17.0
4350,QLD,Internal Combustion Engine,87602," $2,000-$2,999", 55-64 years,1015,2499.5,59.5
4350,QLD,Internal Combustion Engine,87602, Not stated, 45-54 years,701,0,49.5
4350,QLD,Internal Combustion Engine,87602, $500-$649, 65-74 years,1532,574.5,69.5
4350,QLD,Internal Combustion Engine,87602, $800-$999, 20-24 years,1276,899.5,22.0
4350,QLD,Internal Combustion Engine,87602, Not stated, 20-24 years,503,0,22.0
4350,QLD,Internal Combustion Engine,87602," $1,000-$1,249", 55-64 years,1465,1124.5,59.5
4350,QLD,Internal Combustion Engine,87602, $400-$499, 25-34 years,677,449.5,29.5
4350,QLD,Internal Combustion Engine,87602, $800-$999, 35-44 years,1486,899.5,39.5
