Fuel Type,Postcode,State,Registrations,Year,Population,Income,Age
ICE,4350,QLD,85839,2021,131,3500+,29.5
ICE,4350,QLD,85839,2021,404,224.5,49.5
ICE,4350,QLD,85839,2021,1820,449.5,79.5
ICE,4350,QLD,85839,2021,27,1374.5,17.0
ICE,4350,QLD,85839,2021,48,2499.5,79.5
ICE,4350,QLD,85839,2021,1408,724.5,29.5
ICE,4350,QLD,85839,2021,11584,0,69.5
ICE,4350,QLD,85839,2021,28,3500+,85+
ICE,4350,QLD,85839,2021,2318,1124.5,29.5
ICE,4350,QLD,85839,2021,26,2499.5,85+
ICE,4350,QLD,85839,2021,380,899.5,79.5
ICE,4350,QLD,85839,2021,223,899.5,17.0
ICE,4350,QLD,85839,2021,955,449.5,59.5
ICE,4350,QLD,85839,2021,110,1374.5,79.5
ICE,4350,QLD,85839,2021,79,2499.5,22.0
ICE,4350,QLD,85839,2021,422,1374.5,69.5
ICE,4350,QLD,85839,2021,279,3249.5,49.5
ICE,4350,QLD,85839,2021,989,449.5,85+
ICE,4350,QLD,85839,2021,59,3500+,79.5
ICE,4350,QLD,85839,2021,383,0,22.0
ICE,4350,QLD,85839,2021,1270,899.5,49.5
ICE,4350,QLD,85839,2021,1162,1624.5,39.5
ICE,4350,QLD,85839,2021,921,1874.5,49.5
ICE,4350,QLD,85839,2021,13656,0,39.5
ICE,4350,QLD,85839,2021,1004,2499.5,29.5
ICE,4350,QLD,85839,2021,11,1624.5,17.0
ICE,4350,QLD,85839,2021,1032,224.5,17.0
ICE,4350,QLD,85839,2021,227,2499.5,69.5
ICE,4350,QLD,85839,2021,894,574.5,39.5
ICE,4350,QLD,85839,2021,550,224.5,29.5
ICE,4350,QLD,85839,2021,1494,2499.5,49.5
ICE,4350,QLD,85839,2021,1333,1374.5,39.5
ICE,4350,QLD,85839,2021,7849,0,22.0
ICE,4350,QLD,85839,2021,408,3500+,39.5
ICE,4350,QLD,85839,2021,3283,0,85+
ICE,4350,QLD,85839,2021,516,449.5,22.0
ICE,4350,QLD,85839,2021,686,0,79.5
ICE,4350,QLD,87602,2022,212,1874.5,69.5
ICE,4350,QLD,87602,2022,652,0,69.5
ICE,4350,QLD,87602,2022,2075,899.5,29.5
ICE,4350,QLD,87602,2022,78,1124.5,17.0
ICE,4350,QLD,87602,2022,167,75.0,49.5
ICE,4350,QLD,87602,2022,1087,574.5,79.5
ICE,4350,QLD,87602,2022,571,449.5,39.5
ICE,4350,QLD,87602,2022,15863,0,29.5
ICE,4350,QLD,87602,2022,754,1874.5,59.5
ICE,4350,QLD,87602,2022,967,1374.5,59.5
ICE,4350,QLD,87602,2022,2616,0,17.0
ICE,4350,QLD,87602,2022,423,574.5,85+
ICE,4350,QLD,87602,2022,277,1624.5,22.0
ICE,4350,QLD,87602,2022,936,724.5,49.5
ICE,4350,QLD,87602,2022,731,0,39.5
ICE,4350,QLD,87602,2022,1089,724.5,39.5
ICE,4350,QLD,87602,2022,7612,0,79.5
ICE,4350,QLD,87602,2022,1095,574.5,29.5
ICE,4350,QLD,87602,2022,456,224.5,39.5
ICE,4350,QLD,87602,2022,509,0,85+
ICE,4350,QLD,87602,2022,1582,349.5,79.5
ICE,4350,QLD,87602,2022,1015,724.5,69.5
ICE,4350,QLD,87602,2022,14,1874.5,85+
ICE,4350,QLD,87602,2022,404,349.5,17.0
ICE,4350,QLD,87602,2022,1125,1624.5,49.5
ICE,4350,QLD,87602,2022,134,3249.5,29.5
ICE,4350,QLD,87602,2022,182,75.0,22.0
ICE,4350,QLD,87602,2022,1174,899.5,59.5
ICE,4350,QLD,87602,2022,354,449.5,17.0
ICE,4350,QLD,87602,2022,18,3249.5,79.5
ICE,4350,QLD,87602,2022,889,349.5,59.5
ICE,4350,QLD,87602,2022,1746,1374.5,29.5
ICE,4350,QLD,87602,2022,474,3500+,49.5
ICE,4350,QLD,87602,2022,296,1624.5,69.5
ICE,4350,QLD,87602,2022,254,1124.5,79.5
ICE,4350,QLD,87602,2022,0,3249.5,17.0
ICE,4350,QLD,87602,2022,724,349.5,29.5
ICE,4350,QLD,87602,2022,797,574.5,49.5
ICE,4350,QLD,87602,2022,1750,75.0,17.0
ICE,4350,QLD,87602,2022,1090,724.5,22.0
ICE,4350,QLD,87602,2022,704,0,69.5
ICE,4350,QLD,87602,2022,38,1374.5,85+
ICE,4350,QLD,87602,2022,635,0,29.5
ICE,4350,QLD,87602,2022,867,1874.5,39.5
ICE,4350,QLD,87602,2022,1551,1124.5,49.5
ICE,4350,QLD,87602,2022,558,349.5,22.0
ICE,4350,QLD,87602,2022,13,3500+,22.0
ICE,4350,QLD,87602,2022,561,349.5,39.5
ICE,4350,QLD,87602,2022,231,3249.5,59.5
ICE,4350,QLD,87602,2022,1899,449.5,69.5
ICE,4350,QLD,87602,2022,716,224.5,69.5
ICE,4350,QLD,87602,2022,13213,0,49.5
ICE,4350,QLD,87602,2022,1730,1124.5,39.5
ICE,4350,QLD,87602,2022,59,3249.5,69.5
ICE,4350,QLD,87602,2022,128,0,85+
ICE,4350,QLD,87602,2022,57,1124.5,85+
ICE,4350,QLD,87602,2022,185,75.0,29.5
ICE,4350,QLD,87602,2022,119,1624.5,79.5
ICE,4350,QLD,87602,2022,251,3249.5,39.5
ICE,4350,QLD,87602,2022,594,724.5,79.5
ICE,4350,QLD,87602,2022,59,1874.5,79.5
ICE,4350,QLD,87602,2022,312,75.0,59.5
ICE,4350,QLD,87602,2022,650,349.5,49.5
ICE,4350,QLD,87602,2022,919,1124.5,22.0
ICE,4350,QLD,87602,2022,646,0,59.5
ICE,4350,QLD,87602,2022,450,349.5,85+
ICE,4350,QLD,87602,2022,401,0,17.0
ICE,4350,QLD,87602,2022,9,1874.5,17.0
ICE,4350,QLD,87602,2022,844,0,59.5
ICE,4350,QLD,87602,2022,708,1124.5,69.5
ICE,4350,QLD,87602,2022,852,1874.5,29.5
ICE,4350,QLD,87602,2022,549,0,39.5
ICE,4350,QLD,87602,2022,10,3249.5,85+
ICE,4350,QLD,87602,2022,941,574.5,59.5
ICE,4350,QLD,87602,2022,1893,349.5,69.5
ICE,4350,QLD,87602,2022,156,75.0,79.5
ICE,4350,QLD,87602,2022,303,724.5,17.0
ICE,4350,QLD,87602,2022,158,224.5,85+
ICE,4350,QLD,87602,2022,546,224.5,22.0
ICE,4350,QLD,87602,2022,1237,1374.5,49.5
ICE,4350,QLD,87602,2022,331,3500+,59.5
ICE,4350,QLD,87602,2022,906,724.5,59.5
ICE,4350,QLD,87602,2022,12,3249.5,22.0
ICE,4350,QLD,87602,2022,37,1624.5,85+
ICE,4350,QLD,87602,2022,1385,2499.5,39.5
ICE,4350,QLD,87602,2022,264,0,79.5
ICE,4350,QLD,87602,2022,158,3500+,69.5
ICE,4350,QLD,87602,2022,379,224.5,79.5
ICE,4350,QLD,87602,2022,937,0,29.5
ICE,4350,QLD,87602,2022,667,449.5,49.5
ICE,4350,QLD,87602,2022,1400,1624.5,29.5
ICE,4350,QLD,87602,2022,116,899.5,85+
ICE,4350,QLD,87602,2022,391,574.5,17.0
ICE,4350,QLD,87602,2022,847,574.5,22.0
ICE,4350,QLD,87602,2022,175,75.0,39.5
ICE,4350,QLD,87602,2022,7608,0,17.0
ICE,4350,QLD,87602,2022,6,3500+,17.0
ICE,4350,QLD,87602,2022,1015,2499.5,59.5
ICE,4350,QLD,87602,2022,701,0,49.5
ICE,4350,QLD,87602,2022,1532,574.5,69.5
ICE,4350,QLD,87602,2022,1276,899.5,22.0
ICE,4350,QLD,87602,2022,503,0,22.0
ICE,4350,QLD,87602,2022,1465,1124.5,59.5
ICE,4350,QLD,87602,2022,677,449.5,29.5
ICE,4350,QLD,87602,2022,1486,899.5,39.5
ICE,4350,QLD,87602,2022,313,75.0,69.5
ICE,4350,QLD,87602,2022,81,75.0,85+
ICE,4350,QLD,87602,2022,544,0,49.5
ICE,4350,QLD,87602,2022,210,724.5,85+
ICE,4350,QLD,87602,2022,128,1874.5,22.0
ICE,4350,QLD,87602,2022,803,1624.5,59.5
ICE,4350,QLD,87602,2022,7,2499.5,17.0
ICE,4350,QLD,87602,2022,12714,0,59.5
ICE,4350,QLD,87602,2022,525,1374.5,22.0
ICE,4350,QLD,87602,2022,789,899.5,69.5
ICE,4350,QLD,87602,2022,477,224.5,59.5
ICE,4350,QLD,87602,2022,131,3500+,29.5
ICE,4350,QLD,87602,2022,404,224.5,49.5
ICE,4350,QLD,87602,2022,1820,449.5,79.5
ICE,4350,QLD,87602,2022,27,1374.5,17.0
ICE,4350,QLD,87602,2022,48,2499.5,79.5
ICE,4350,QLD,87602,2022,1408,724.5,29.5
ICE,4350,QLD,87602,2022,11584,0,69.5
ICE,4350,QLD,87602,2022,28,3500+,85+
ICE,4350,QLD,87602,2022,2318,1124.5,29.5
ICE,4350,QLD,87602,2022,26,2499.5,85+
ICE,4350,QLD,87602,2022,380,899.5,79.5
ICE,4350,QLD,87602,2022,223,899.5,17.0
ICE,4350,QLD,87602,2022,955,449.5,59.5
ICE,4350,QLD,87602,2022,110,1374.5,79.5
ICE,4350,QLD,87602,2022,79,2499.5,22.0
ICE,4350,QLD,87602,2022,422,1374.5,69.5
ICE,4350,QLD,87602,2022,279,3249.5,49.5
ICE,4350,QLD,87602,2022,989,449.5,85+
ICE,4350,QLD,87602,2022,59,3500+,79.5
ICE,4350,QLD,87602,2022,383,0,22.0
ICE,4350,QLD,87602,2022,1270,899.5,49.5
ICE,4350,QLD,87602,2022,1162,1624.5,39.5
ICE,4350,QLD,87602,2022,921,1874.5,49.5
ICE,4350,QLD,87602,2022,13656,0,39.5
ICE,4350,QLD,87602,2022,1004,2499.5,29.5
ICE,4350,QLD,87602,2022,11,1624.5,17.0
ICE,4350,QLD,87602,2022,1032,224.5,17.0
ICE,4350,QLD,87602,2022,227,2499.5,69.5
ICE,4350,QLD,87602,2022,894,574.5,39.5
ICE,4350,QLD,87602,2022,550,224.5,29.5
ICE,4350,QLD,87602,2022,1494,2499.5,49.5
ICE,4350,QLD,87602,2022,1333,1374.5,39.5
ICE,4350,QLD,87602,2022,7849,0,22.0
ICE,4350,QLD,87602,2022,408,3500+,39.5
ICE,4350,QLD,87602,2022,3283,0,85+
ICE,4350,QLD,87602,2022,516,449.5,22.0
ICE,4350,QLD,87602,2022,686,0,79.5
ICE,4350,QLD,90065,2023,212,1874.5,69.5
ICE,4350,QLD,90065,2023,652,0,69.5
ICE,4350,QLD,90065,2023,2075,899.5,29.5
ICE,4350,QLD,90065,2023,78,1124.5,17.0
ICE,4350,QLD,90065,2023,167,75.0,49.5
ICE,4350,QLD,90065,2023,1087,574.5,79.5
ICE,4350,QLD,90065,2023,571,449.5,39.5
ICE,4350,QLD,90065,2023,15863,0,29.5
ICE,4350,QLD,90065,2023,754,1874.5,59.5
ICE,4350,QLD,90065,2023,967,1374.5,59.5
ICE,4350,QLD,90065,2023,2616,0,17.0
ICE,4350,QLD,90065,2023,423,574.5,85+
ICE,4350,QLD,90065,2023,277,1624.5,22.0
ICE,4350,QLD,90065,2023,936,724.5,49.5
ICE,4350,QLD,90065,2023,731,0,39.5
ICE,4350,QLD,90065,2023,1089,724.5,39.5
ICE,4350,QLD,90065,2023,7612,0,79.5
ICE,4350,QLD,90065,2023,1095,574.5,29.5
ICE,4350,QLD,90065,2023,456,224.5,39.5
ICE,4350,QLD,90065,2023,509,0,85+
ICE,4350,QLD,90065,2023,1582,349.5,79.5
ICE,4350,QLD,90065,2023,1015,724.5,69.5
ICE,4350,QLD,90065,2023,14,1874.5,85+
ICE,4350,QLD,90065,2023,404,349.5,17.0
ICE,4350,QLD,90065,2023,1125,1624.5,49.5
ICE,4350,QLD,90065,2023,134,3249.5,29.5
ICE,4350,QLD,90065,2023,182,75.0,22.0
ICE,4350,QLD,90065,2023,1174,899.5,59.5
ICE,4350,QLD,90065,2023,354,449.5,17.0
ICE,4350,QLD,90065,2023,18,3249.5,79.5
ICE,4350,QLD,90065,2023,889,349.5,59.5
ICE,4350,QLD,90065,2023,1746,1374.5,29.5
ICE,4350,QLD,90065,2023,474,3500+,49.5
ICE,4350,QLD,90065,2023,296,1624.5,69.5
ICE,4350,QLD,90065,2023,254,1124.5,79.5
ICE,4350,QLD,90065,2023,0,3249.5,17.0
ICE,4350,QLD,90065,2023,724,349.5,29.5
ICE,4350,QLD,90065,2023,797,574.5,49.5
ICE,4350,QLD,90065,2023,1750,75.0,17.0
ICE,4350,QLD,90065,2023,1090,724.5,22.0
ICE,4350,QLD,90065,2023,704,0,69.5
ICE,4350,QLD,90065,2023,38,1374.5,85+
ICE,4350,QLD,90065,2023,635,0,29.5
ICE,4350,QLD,90065,2023,867,1874.5,39.5
ICE,4350,QLD,90065,2023,1551,1124.5,49.5
ICE,4350,QLD,90065,2023,558,349.5,22.0
ICE,4350,QLD,90065,2023,13,3500+,22.0
ICE,4350,QLD,90065,2023,561,349.5,39.5
ICE,4350,QLD,90065,2023,231,3249.5,59.5
ICE,4350,QLD,90065,2023,1899,449.5,69.5
ICE,4350,QLD,90065,2023,716,224.5,69.5
ICE,4350,QLD,90065,2023,13213,0,49.5
ICE,4350,QLD,90065,2023,1730,1124.5,39.5
ICE,4350,QLD,90065,2023,59,3249.5,69.5
ICE,4350,QLD,90065,2023,128,0,85+
ICE,4350,QLD,90065,2023,57,1124.5,85+
ICE,4350,QLD,90065,2023,185,75.0,29.5
ICE,4350,QLD,90065,2023,119,1624.5,79.5
ICE,4350,QLD,90065,2023,251,3249.5,39.5
ICE,4350,QLD,90065,2023,594,724.5,79.5
ICE,4350,QLD,90065,2023,59,1874.5,79.5
ICE,4350,QLD,90065,2023,312,75.0,59.5
ICE,4350,QLD,90065,2023,650,349.5,49.5
ICE,4350,QLD,90065,2023,919,1124.5,22.0
ICE,4350,QLD,90065,2023,646,0,59.5
ICE,4350,QLD,90065,2023,450,349.5,85+
ICE,4350,QLD,90065,2023,401,0,17.0
ICE,4350,QLD,90065,2023,9,1874.5,17.0
ICE,4350,QLD,90065,2023,844,0,59.5
ICE,4350,QLD,90065,2023,708,1124.5,69.5
ICE,4350,QLD,90065,2023,852,1874.5,29.5
ICE,4350,QLD,90065,2023,549,0,39.5
ICE,4350,QLD,90065,2023,10,3249.5,85+
ICE,4350,QLD,90065,2023,941,574.5,59.5
ICE,4350,QLD,90065,2023,1893,349.5,69.5
ICE,4350,QLD,90065,2023,156,75.0,79.5
ICE,4350,QLD,90065,2023,303,724.5,17.0
ICE,4350,QLD,90065,2023,158,224.5,85+
ICE,4350,QLD,90065,2023,546,224.5,22.0
ICE,4350,QLD,90065,2023,1237,1374.5,49.5
ICE,4350,QLD,90065,2023,331,3500+,59.5
ICE,4350,QLD,90065,2023,906,724.5,59.5
ICE,4350,QLD,90065,2023,12,3249.5,22.0
ICE,4350,QLD,90065,2023,37,1624.5,85+
ICE,4350,QLD,90065,2023,1385,2499.5,39.5
ICE,4350,QLD,90065,2023,264,0,79.5
ICE,4350,QLD,90065,2023,158,3500+,69.5
ICE,4350,QLD,90065,2023,379,224.5,79.5
ICE,4350,QLD,90065,2023,937,0,29.5
ICE,4350,QLD,90065,2023,667,449.5,49.5
ICE,4350,QLD,90065,2023,1400,1624.5,29.5
ICE,4350,QLD,90065,2023,116,899.5,85+
