Postcode,locality,State,Registrations as at 31 January 2022,Population,Total personal income (weekly),Income_Midpoint,Age,Age_Midpoint,Fuel Type
3030,CHARTWELL,VIC,163,6820, Total,0, 20-24 years,22.0,Battery Electric Vehicle
3030,CHARTWELL,VIC,163,18359, Total,0, 25-34 years,29.5,Battery Electric Vehicle
3030,CHARTWELL,VIC,163,22767, Total,0, 35-44 years,39.5,Battery Electric Vehicle
3030,CHARTWELL,VIC,163,14671, Total,0, 45-54 years,49.5,Battery Electric Vehicle
3030,CHARTWELL,VIC,163,9998, Total,0, 55-64 years,59.5,Battery Electric Vehicle
3030,CHARTWELL,VIC,163,6759, Total,0, 65-74 years,69.5,Battery Electric Vehicle
3030,CHARTWELL,VIC,163,3076, Total,0, 75-84 years,79.5,Battery Electric Vehicle
3030,CHARTWELL,VIC,163,1147, Total,0, 85 years and over,85+,Battery Electric Vehicle
2000,BARANGAROO,NSW,159,610, Total,0, 15-19 years,17.0,Battery Electric Vehicle
2000,BARANGAROO,NSW,159,3429, Total,0, 20-24 years,22.0,Battery Electric Vehicle
2000,BARANGAROO,NSW,159,10684, Total,0, 25-34 years,29.5,Battery Electric Vehicle
2000,BARANGAROO,NSW,159,5424, Total,0, 35-44 years,39.5,Battery Electric Vehicle
2000,BARANGAROO,NSW,159,2398, Total,0, 45-54 years,49.5,Battery Electric Vehicle
2000,BARANGAROO,NSW,159,1872, Total,0, 55-64 years,59.5,Battery Electric Vehicle
2000,BARANGAROO,NSW,159,1310, Total,0, 65-74 years,69.5,Battery Electric Vehicle
2000,BARANGAROO,NSW,159,625, Total,0, 75-84 years,79.5,Battery Electric Vehicle
2000,BARANGAROO,NSW,159,165, Total,0, 85 years and over,85+,Battery Electric Vehicle
2602,AINSLIE,ACT,157,1658, Total,0, 15-19 years,17.0,Battery Electric Vehicle
2602,AINSLIE,ACT,157,3175, Total,0, 20-24 years,22.0,Battery Electric Vehicle
2602,AINSLIE,ACT,157,6192, Total,0, 25-34 years,29.5,Battery Electric Vehicle
2602,AINSLIE,ACT,157,5195, Total,0, 35-44 years,39.5,Battery Electric Vehicle
2602,AINSLIE,ACT,157,4445, Total,0, 45-54 years,49.5,Battery Electric Vehicle
2602,AINSLIE,ACT,157,3480, Total,0, 55-64 years,59.5,Battery Electric Vehicle
2602,AINSLIE,ACT,157,2473, Total,0, 65-74 years,69.5,Battery Electric Vehicle
2602,AINSLIE,ACT,157,1434, Total,0, 75-84 years,79.5,Battery Electric Vehicle
2602,AINSLIE,ACT,157,828, Total,0, 85 years and over,85+,Battery Electric Vehicle
