Postcode,State,Fuel Type,Registrations as at 31 January 2021,Registrations as at 31 January 2022,Registrations as at 31 January 2023
875,NT,Hydrogen Cell Vehicle,0,0,0
875,NT,Hybrid,16,19,20
880,NT,Internal Combustion Engine,2469,2520,2592
880,NT,Battery Electric Vehicle,0,0,0
880,NT,Hydrogen Cell Vehicle,0,0,0
880,NT,Hybrid,7,12,14
885,NT,Internal Combustion Engine,622,639,665
885,NT,Battery Electric Vehicle,0,0,0
885,NT,Hydrogen Cell Vehicle,0,0,0
885,NT,Hybrid,0,0,0
886,NT,Internal Combustion Engine,719,663,540
886,NT,Battery Electric Vehicle,0,0,0
886,NT,Hydrogen Cell Vehicle,0,0,0
886,NT,Hybrid,0,0,0
2000,NSW,Internal Combustion Engine,18213,17931,18025
2000,NSW,Battery Electric Vehicle,76,159,272
2000,NSW,Hydrogen Cell Vehicle,0,0,0
2000,NSW,Hybrid,976,1215,1571
2007,NSW,Internal Combustion Engine,2294,2563,2579
2007,NSW,Battery Electric Vehicle,5,14,24
2007,NSW,Hydrogen Cell Vehicle,0,0,0
2007,NSW,Hybrid,65,81,100
2008,NSW,Internal Combustion Engine,2794,2841,2888
2008,NSW,Battery Electric Vehicle,9,20,34
2008,NSW,Hydrogen Cell Vehicle,0,0,0
2008,NSW,Hybrid,69,80,87
2009,NSW,Internal Combustion Engine,5746,5877,5883
2009,NSW,Battery Electric Vehicle,22,42,85
2009,NSW,Hydrogen Cell Vehicle,0,0,0
2009,NSW,Hybrid,346,377,331
2010,NSW,Internal Combustion Engine,9940,10028,10093
2010,NSW,Battery Electric Vehicle,37,80,155
2010,NSW,Hydrogen Cell Vehicle,0,0,0
2010,NSW,Hybrid,180,236,371
2011,NSW,Internal Combustion Engine,9160,8737,8452
2011,NSW,Battery Electric Vehicle,49,70,103
2011,NSW,Hydrogen Cell Vehicle,0,0,0
2011,NSW,Hybrid,318,512,965
2015,NSW,Internal Combustion Engine,8953,9245,9874
2015,NSW,Battery Electric Vehicle,84,98,156
2015,NSW,Hydrogen Cell Vehicle,0,0,0
2015,NSW,Hybrid,296,357,490
2016,NSW,Internal Combustion Engine,5175,5162,5118
2016,NSW,Battery Electric Vehicle,10,20,32
2016,NSW,Hydrogen Cell Vehicle,0,0,0
2016,NSW,Hybrid,80,102,132
2017,NSW,Internal Combustion Engine,11965,12366,12492
2017,NSW,Battery Electric Vehicle,68,77,143
2017,NSW,Hydrogen Cell Vehicle,0,0,0
2017,NSW,Hybrid,336,376,464
2018,NSW,Internal Combustion Engine,9321,9637,9733
2018,NSW,Battery Electric Vehicle,13,28,63
2018,NSW,Hydrogen Cell Vehicle,0,0,0
2018,NSW,Hybrid,195,258,337
2019,NSW,Internal Combustion Engine,10435,10540,10720
2019,NSW,Battery Electric Vehicle,15,14,36
2019,NSW,Hydrogen Cell Vehicle,0,0,0
2019,NSW,Hybrid,149,192,254
2020,NSW,Internal Combustion Engine,20529,22249,27013
2020,NSW,Battery Electric Vehicle,13,68,309
2020,NSW,Hydrogen Cell Vehicle,0,0,0
2020,NSW,Hybrid,957,1430,2405
2021,NSW,Internal Combustion Engine,7680,7556,7400
2021,NSW,Battery Electric Vehicle,39,64,114
2021,NSW,Hydrogen Cell Vehicle,0,0,0
2021,NSW,Hybrid,160,200,231
2022,NSW,Internal Combustion Engine,6443,6554,6594
2022,NSW,Battery Electric Vehicle,33,44,79
2022,NSW,Hydrogen Cell Vehicle,0,0,0
2022,NSW,Hybrid,124,146,194
2023,NSW,Internal Combustion Engine,5983,5801,5741
2023,NSW,Battery Electric Vehicle,57,96,146
2023,NSW,Hydrogen Cell Vehicle,0,0,0
2023,NSW,Hybrid,155,202,216
2024,NSW,Internal Combustion Engine,5855,5787,5677
2024,NSW,Battery Electric Vehicle,39,59,89
2024,NSW,Hydrogen Cell Vehicle,0,0,0
2024,NSW,Hybrid,112,138,157
2025,NSW,Internal Combustion Engine,4012,3970,3843
2025,NSW,Battery Electric Vehicle,38,54,81
