Postcode,State,Fuel Type,Registrations as at 31 January 2021,Registrations as at 31 January 2022,Registrations as at 31 January 2023
2653,NSW,Hydrogen Cell Vehicle,0,0,0
2653,NSW,Hybrid,8,6,10
2655,NSW,Internal Combustion Engine,1207,1212,1223
2655,NSW,Battery Electric Vehicle,0,0,0
2655,NSW,Hydrogen Cell Vehicle,0,0,0
2655,NSW,Hybrid,7,9,11
2656,NSW,Internal Combustion Engine,1050,1059,1084
2656,NSW,Battery Electric Vehicle,0,0,0
2656,NSW,Hydrogen Cell Vehicle,0,0,0
2656,NSW,Hybrid,4,7,10
2658,NSW,Internal Combustion Engine,1180,1215,1225
2658,NSW,Battery Electric Vehicle,0,0,0
2658,NSW,Hydrogen Cell Vehicle,0,0,0
2658,NSW,Hybrid,3,6,8
2659,NSW,Internal Combustion Engine,800,803,797
2659,NSW,Battery Electric Vehicle,0,0,0
2659,NSW,Hydrogen Cell Vehicle,0,0,0
2659,NSW,Hybrid,0,3,0
2660,NSW,Internal Combustion Engine,1321,1344,1376
2660,NSW,Battery Electric Vehicle,0,0,0
2660,NSW,Hydrogen Cell Vehicle,0,0,0
2660,NSW,Hybrid,3,0,4
2661,NSW,Internal Combustion Engine,108,98,100
2661,NSW,Battery Electric Vehicle,0,0,0
2661,NSW,Hydrogen Cell Vehicle,0,0,0
2661,NSW,Hybrid,0,3,0
2663,NSW,Internal Combustion Engine,3405,3478,3532
2663,NSW,Battery Electric Vehicle,0,0,3
2663,NSW,Hydrogen Cell Vehicle,0,0,0
2663,NSW,Hybrid,12,25,27
2665,NSW,Internal Combustion Engine,1913,1943,2025
2665,NSW,Battery Electric Vehicle,0,0,0
2665,NSW,Hydrogen Cell Vehicle,0,0,0
2665,NSW,Hybrid,10,10,11
2666,NSW,Internal Combustion Engine,4617,4644,4712
2666,NSW,Battery Electric Vehicle,3,3,0
2666,NSW,Hydrogen Cell Vehicle,0,0,0
2666,NSW,Hybrid,16,22,37
2668,NSW,Internal Combustion Engine,403,415,425
2668,NSW,Battery Electric Vehicle,0,0,0
2668,NSW,Hydrogen Cell Vehicle,0,0,0
2668,NSW,Hybrid,0,0,0
2669,NSW,Internal Combustion Engine,1588,1624,1641
2669,NSW,Battery Electric Vehicle,0,0,0
2669,NSW,Hydrogen Cell Vehicle,0,0,0
2669,NSW,Hybrid,4,8,9
2671,NSW,Internal Combustion Engine,3348,3415,3496
2671,NSW,Battery Electric Vehicle,0,0,0
2671,NSW,Hydrogen Cell Vehicle,0,0,0
2671,NSW,Hybrid,28,56,66
2672,NSW,Internal Combustion Engine,1257,1244,1254
2672,NSW,Battery Electric Vehicle,3,0,0
2672,NSW,Hydrogen Cell Vehicle,0,0,0
2672,NSW,Hybrid,7,13,18
2675,NSW,Internal Combustion Engine,1301,1276,1274
2675,NSW,Battery Electric Vehicle,0,0,0
2675,NSW,Hydrogen Cell Vehicle,0,0,0
2675,NSW,Hybrid,7,11,13
2678,NSW,Internal Combustion Engine,22,17,21
2678,NSW,Battery Electric Vehicle,0,0,0
2678,NSW,Hydrogen Cell Vehicle,0,0,0
2678,NSW,Hybrid,0,0,0
2680,NSW,Internal Combustion Engine,20163,20430,20549
2680,NSW,Battery Electric Vehicle,5,6,9
2680,NSW,Hydrogen Cell Vehicle,0,0,0
2680,NSW,Hybrid,114,194,245
2681,NSW,Internal Combustion Engine,1652,1659,1662
2681,NSW,Battery Electric Vehicle,0,0,3
2681,NSW,Hydrogen Cell Vehicle,0,0,0
2681,NSW,Hybrid,6,9,11
2700,NSW,Internal Combustion Engine,4048,4064,4075
2700,NSW,Battery Electric Vehicle,0,0,0
2700,NSW,Hydrogen Cell Vehicle,0,0,0
2700,NSW,Hybrid,12,23,30
2701,NSW,Internal Combustion Engine,1899,1958,2044
2701,NSW,Battery Electric Vehicle,0,0,0
2701,NSW,Hydrogen Cell Vehicle,0,0,0
2701,NSW,Hybrid,15,22,27
2702,NSW,Internal Combustion Engine,695,715,717
2702,NSW,Battery Electric Vehicle,0,0,0
2702,NSW,Hydrogen Cell Vehicle,0,0,0
2702,NSW,Hybrid,0,3,4
2703,NSW,Internal Combustion Engine,651,656,651
2703,NSW,Battery Electric Vehicle,0,0,0
2703,NSW,Hydrogen Cell Vehicle,0,0,0
2703,NSW,Hybrid,5,6,8
2705,NSW,Internal Combustion Engine,8684,8565,8660
2705,NSW,Battery Electric Vehicle,3,0,4
2705,NSW,Hydrogen Cell Vehicle,0,0,0
2705,NSW,Hybrid,109,137,179
2706,NSW,Internal Combustion Engine,987,1050,1058
2706,NSW,Battery Electric Vehicle,0,0,3
2706,NSW,Hydrogen Cell Vehicle,0,0,0
2706,NSW,Hybrid,4,7,6
2707,NSW,Internal Combustion Engine,1235,1245,1284
2707,NSW,Battery Electric Vehicle,0,0,0
2707,NSW,Hydrogen Cell Vehicle,0,0,0
2707,NSW,Hybrid,7,10,13
2710,NSW,Internal Combustion Engine,8080,8213,8217
2710,NSW,Battery Electric Vehicle,0,0,3
2710,NSW,Hydrogen Cell Vehicle,0,0,0
2710,NSW,Hybrid,26,34,54
2711,NSW,Internal Combustion Engine,2793,2730,2757
2711,NSW,Battery Electric Vehicle,0,0,0
2711,NSW,Hydrogen Cell Vehicle,0,0,0
2711,NSW,Hybrid,23,28,33
2712,NSW,Internal Combustion Engine,1131,1143,1146
2712,NSW,Battery Electric Vehicle,0,0,0
2712,NSW,Hydrogen Cell Vehicle,0,0,0
2712,NSW,Hybrid,0,4,6
2713,NSW,Internal Combustion Engine,2091,2192,2193
2713,NSW,Battery Electric Vehicle,0,0,0
2713,NSW,Hydrogen Cell Vehicle,0,0,0
2713,NSW,Hybrid,9,14,20
2714,NSW,Internal Combustion Engine,1989,2046,2051
2714,NSW,Battery Electric Vehicle,3,3,0
2714,NSW,Hydrogen Cell Vehicle,0,0,0
2714,NSW,Hybrid,5,13,20
2715,NSW,Internal Combustion Engine,1117,1111,1113
2715,NSW,Battery Electric Vehicle,0,0,0
2715,NSW,Hydrogen Cell Vehicle,0,0,0
2715,NSW,Hybrid,0,3,3
2716,NSW,Internal Combustion Engine,955,965,976
2716,NSW,Battery Electric Vehicle,0,0,0
2716,NSW,Hydrogen Cell Vehicle,0,0,0
2716,NSW,Hybrid,0,4,9
2717,NSW,Internal Combustion Engine,783,775,763
2717,NSW,Battery Electric Vehicle,0,0,0
2717,NSW,Hydrogen Cell Vehicle,0,0,0
2717,NSW,Hybrid,3,4,10
2720,NSW,Internal Combustion Engine,7094,7119,7187
2720,NSW,Battery Electric Vehicle,0,0,6
2720,NSW,Hydrogen Cell Vehicle,0,0,0
2720,NSW,Hybrid,55,87,110
2721,NSW,Internal Combustion Engine,225,227,220
2721,NSW,Battery Electric Vehicle,0,0,0
2721,NSW,Hydrogen Cell Vehicle,0,0,0
2721,NSW,Hybrid,0,0,3
2722,NSW,Internal Combustion Engine,2656,2698,2717
2722,NSW,Battery Electric Vehicle,3,3,3
2722,NSW,Hydrogen Cell Vehicle,0,0,0
2722,NSW,Hybrid,9,16,30
2725,NSW,Internal Combustion Engine,368,363,371
2725,NSW,Battery Electric Vehicle,0,0,0
2725,NSW,Hydrogen Cell Vehicle,0,0,0
2725,NSW,Hybrid,0,3,3
2726,NSW,Internal Combustion Engine,265,279,275
2726,NSW,Battery Electric Vehicle,0,3,0
2726,NSW,Hydrogen Cell Vehicle,0,0,0
2726,NSW,Hybrid,0,0,3
2727,NSW,Internal Combustion Engine,383,399,404
2727,NSW,Battery Electric Vehicle,0,0,0
2727,NSW,Hydrogen Cell Vehicle,0,0,0
2727,NSW,Hybrid,0,0,0
2729,NSW,Internal Combustion Engine,1530,1581,1605
2729,NSW,Battery Electric Vehicle,3,0,3
2729,NSW,Hydrogen Cell Vehicle,0,0,0
2729,NSW,Hybrid,4,5,13
2730,NSW,Internal Combustion Engine,1323,1304,1268
2730,NSW,Battery Electric Vehicle,0,0,0
2730,NSW,Hydrogen Cell Vehicle,0,0,0
2730,NSW,Hybrid,4,8,6
2731,NSW,Internal Combustion Engine,3446,3688,3765
2731,NSW,Battery Electric Vehicle,0,0,5
2731,NSW,Hydrogen Cell Vehicle,0,0,0
2731,NSW,Hybrid,23,37,44
2732,NSW,Internal Combustion Engine,1240,1248,1253
2732,NSW,Battery Electric Vehicle,0,0,0
2732,NSW,Hydrogen Cell Vehicle,0,0,0
2732,NSW,Hybrid,6,13,16
2733,NSW,Internal Combustion Engine,527,517,526
2733,NSW,Battery Electric Vehicle,0,0,0
2733,NSW,Hydrogen Cell Vehicle,0,0,0
2733,NSW,Hybrid,5,8,7
2734,NSW,Internal Combustion Engine,190,200,205
2734,NSW,Battery Electric Vehicle,0,0,0
2734,NSW,Hydrogen Cell Vehicle,0,0,0
2734,NSW,Hybrid,0,3,3
2735,NSW,Internal Combustion Engine,161,176,185
2735,NSW,Battery Electric Vehicle,0,0,0
2735,NSW,Hydrogen Cell Vehicle,0,0,0
2735,NSW,Hybrid,0,0,3
2736,NSW,Internal Combustion Engine,219,227,237
2736,NSW,Battery Electric Vehicle,0,0,0
2736,NSW,Hydrogen Cell Vehicle,0,0,0
2736,NSW,Hybrid,0,0,0
2737,NSW,Internal Combustion Engine,443,462,486
2737,NSW,Battery Electric Vehicle,0,0,0
2737,NSW,Hydrogen Cell Vehicle,0,0,0
2737,NSW,Hybrid,0,0,0
2738,NSW,Internal Combustion Engine,1180,1244,1294
2738,NSW,Battery Electric Vehicle,0,0,0
2738,NSW,Hydrogen Cell Vehicle,0,0,0
2738,NSW,Hybrid,0,0,0
2739,NSW,Internal Combustion Engine,821,808,787
2739,NSW,Battery Electric Vehicle,0,0,3
2739,NSW,Hydrogen Cell Vehicle,0,0,0
2739,NSW,Hybrid,3,0,4
2745,NSW,Internal Combustion Engine,21542,21652,21917
2745,NSW,Battery Electric Vehicle,11,27,59
2745,NSW,Hydrogen Cell Vehicle,0,0,0
2745,NSW,Hybrid,150,224,303
2747,NSW,Internal Combustion Engine,31587,32079,32542
2747,NSW,Battery Electric Vehicle,4,24,62
2747,NSW,Hydrogen Cell Vehicle,0,0,0
2747,NSW,Hybrid,338,469,620
2748,NSW,Internal Combustion Engine,1921,1890,1826
2748,NSW,Battery Electric Vehicle,0,0,4
2748,NSW,Hydrogen Cell Vehicle,0,0,0
2748,NSW,Hybrid,12,17,21
2749,NSW,Internal Combustion Engine,11518,11483,11469
2749,NSW,Battery Electric Vehicle,6,14,24
2749,NSW,Hydrogen Cell Vehicle,0,0,0
2749,NSW,Hybrid,67,90,135
2750,NSW,Internal Combustion Engine,34958,35599,36589
2750,NSW,Battery Electric Vehicle,12,26,71
2750,NSW,Hydrogen Cell Vehicle,0,0,0
2750,NSW,Hybrid,412,738,1054
2752,NSW,Internal Combustion Engine,4778,4901,5189
2752,NSW,Battery Electric Vehicle,0,5,9
2752,NSW,Hydrogen Cell Vehicle,0,0,0
2752,NSW,Hybrid,23,28,51
2753,NSW,Internal Combustion Engine,13460,13452,13519
2753,NSW,Battery Electric Vehicle,9,6,16
2753,NSW,Hydrogen Cell Vehicle,0,0,0
2753,NSW,Hybrid,75,121,147
2754,NSW,Internal Combustion Engine,5224,5314,5607
2754,NSW,Battery Electric Vehicle,0,3,6
2754,NSW,Hydrogen Cell Vehicle,0,0,0
2754,NSW,Hybrid,28,38,71
2756,NSW,Internal Combustion Engine,28849,29165,29237
2756,NSW,Battery Electric Vehicle,10,15,37
2756,NSW,Hydrogen Cell Vehicle,0,0,0
2756,NSW,Hybrid,207,312,393
2757,NSW,Internal Combustion Engine,789,784,781
2757,NSW,Battery Electric Vehicle,0,0,0
2757,NSW,Hydrogen Cell Vehicle,0,0,0
2757,NSW,Hybrid,0,3,5
2758,NSW,Internal Combustion Engine,8081,8098,8151
2758,NSW,Battery Electric Vehicle,4,10,23
2758,NSW,Hydrogen Cell Vehicle,0,0,0
2758,NSW,Hybrid,50,67,100
2759,NSW,Internal Combustion Engine,18817,18687,18508
2759,NSW,Battery Electric Vehicle,0,4,23
2759,NSW,Hydrogen Cell Vehicle,0,0,0
2759,NSW,Hybrid,118,182,246
2760,NSW,Internal Combustion Engine,22520,22597,22830
2760,NSW,Battery Electric Vehicle,5,9,22
2760,NSW,Hydrogen Cell Vehicle,0,0,0
2760,NSW,Hybrid,219,315,432
2761,NSW,Internal Combustion Engine,21574,21569,21907
2761,NSW,Battery Electric Vehicle,8,25,56
2761,NSW,Hydrogen Cell Vehicle,0,0,0
2761,NSW,Hybrid,301,395,498
2762,NSW,Internal Combustion Engine,9270,10696,12030
2762,NSW,Battery Electric Vehicle,3,20,94
2762,NSW,Hydrogen Cell Vehicle,0,0,0
2762,NSW,Hybrid,204,334,416
2763,NSW,Internal Combustion Engine,18779,18896,18958
2763,NSW,Battery Electric Vehicle,9,18,66
2763,NSW,Hydrogen Cell Vehicle,0,0,0
2763,NSW,Hybrid,258,337,442
2765,NSW,Internal Combustion Engine,23333,27514,31927
2765,NSW,Battery Electric Vehicle,16,59,239
2765,NSW,Hydrogen Cell Vehicle,0,0,0
2765,NSW,Hybrid,303,552,909
2766,NSW,Internal Combustion Engine,10524,10462,10586
2766,NSW,Battery Electric Vehicle,11,13,22
2766,NSW,Hydrogen Cell Vehicle,0,0,0
2766,NSW,Hybrid,169,211,269
2767,NSW,Internal Combustion Engine,13516,13238,13127
2767,NSW,Battery Electric Vehicle,0,8,26
2767,NSW,Hydrogen Cell Vehicle,0,0,0
2767,NSW,Hybrid,197,242,328
2768,NSW,Internal Combustion Engine,16094,16015,15883
2768,NSW,Battery Electric Vehicle,14,34,119
2768,NSW,Hydrogen Cell Vehicle,0,0,0
2768,NSW,Hybrid,307,388,614
2769,NSW,Internal Combustion Engine,8482,8576,8741
2769,NSW,Battery Electric Vehicle,10,35,104
2769,NSW,Hydrogen Cell Vehicle,0,0,0
2769,NSW,Hybrid,191,269,350
2770,NSW,Internal Combustion Engine,34561,33622,34176
2770,NSW,Battery Electric Vehicle,6,10,32
2770,NSW,Hydrogen Cell Vehicle,0,0,0
2770,NSW,Hybrid,406,520,644
2773,NSW,Internal Combustion Engine,4309,4263,4259
2773,NSW,Battery Electric Vehicle,6,15,22
2773,NSW,Hydrogen Cell Vehicle,0,0,0
2773,NSW,Hybrid,46,73,85
2774,NSW,Internal Combustion Engine,9129,9047,9060
2774,NSW,Battery Electric Vehicle,9,19,35
2774,NSW,Hydrogen Cell Vehicle,0,0,0
2774,NSW,Hybrid,93,125,159
2775,NSW,Internal Combustion Engine,1475,1489,1506
2775,NSW,Battery Electric Vehicle,0,0,3
2775,NSW,Hydrogen Cell Vehicle,0,0,0
2775,NSW,Hybrid,15,18,20
2776,NSW,Internal Combustion Engine,3015,3015,3005
2776,NSW,Battery Electric Vehicle,0,3,6
2776,NSW,Hydrogen Cell Vehicle,0,0,0
2776,NSW,Hybrid,29,38,52
2777,NSW,Internal Combustion Engine,12956,12899,12756
2777,NSW,Battery Electric Vehicle,11,18,34
2777,NSW,Hydrogen Cell Vehicle,0,0,0
2777,NSW,Hybrid,109,167,199
2778,NSW,Internal Combustion Engine,1827,1842,1838
2778,NSW,Battery Electric Vehicle,3,3,14
2778,NSW,Hydrogen Cell Vehicle,0,0,0
2778,NSW,Hybrid,19,19,23
2779,NSW,Internal Combustion Engine,3454,3533,3474
2779,NSW,Battery Electric Vehicle,0,3,15
2779,NSW,Hydrogen Cell Vehicle,0,0,0
2779,NSW,Hybrid,29,45,53
2780,NSW,Internal Combustion Engine,9154,9207,9171
2780,NSW,Battery Electric Vehicle,13,26,52
2780,NSW,Hydrogen Cell Vehicle,0,0,0
2780,NSW,Hybrid,124,176,193
2782,NSW,Internal Combustion Engine,4460,4415,4339
2782,NSW,Battery Electric Vehicle,8,17,35
2782,NSW,Hydrogen Cell Vehicle,0,0,0
2782,NSW,Hybrid,66,94,111
2783,NSW,Internal Combustion Engine,2067,2041,2028
2783,NSW,Battery Electric Vehicle,3,4,9
2783,NSW,Hydrogen Cell Vehicle,0,0,0
2783,NSW,Hybrid,42,54,59
2784,NSW,Internal Combustion Engine,916,949,950
2784,NSW,Battery Electric Vehicle,3,4,5
2784,NSW,Hydrogen Cell Vehicle,0,0,0
2784,NSW,Hybrid,10,11,15
2785,NSW,Internal Combustion Engine,3480,3482,3438
2785,NSW,Battery Electric Vehicle,6,14,20
2785,NSW,Hydrogen Cell Vehicle,0,0,0
2785,NSW,Hybrid,28,35,52
2786,NSW,Internal Combustion Engine,981,975,980
2786,NSW,Battery Electric Vehicle,3,3,4
2786,NSW,Hydrogen Cell Vehicle,0,0,0
2786,NSW,Hybrid,8,9,13
2787,NSW,Internal Combustion Engine,4237,4258,4287
2787,NSW,Battery Electric Vehicle,0,4,4
2787,NSW,Hydrogen Cell Vehicle,0,0,0
2787,NSW,Hybrid,17,20,33
2790,NSW,Internal Combustion Engine,12505,12576,12512
2790,NSW,Battery Electric Vehicle,4,9,23
2790,NSW,Hydrogen Cell Vehicle,0,0,0
2790,NSW,Hybrid,125,175,218
2791,NSW,Internal Combustion Engine,309,306,315
2791,NSW,Battery Electric Vehicle,0,0,0
2791,NSW,Hydrogen Cell Vehicle,0,0,0
2791,NSW,Hybrid,0,3,3
2792,NSW,Internal Combustion Engine,382,351,365
2792,NSW,Battery Electric Vehicle,0,0,0
2792,NSW,Hydrogen Cell Vehicle,0,0,0
2792,NSW,Hybrid,3,0,3
2793,NSW,Internal Combustion Engine,1068,1087,1076
2793,NSW,Battery Electric Vehicle,0,0,0
2793,NSW,Hydrogen Cell Vehicle,0,0,0
2793,NSW,Hybrid,5,8,8
2794,NSW,Internal Combustion Engine,8506,8533,8611
2794,NSW,Battery Electric Vehicle,0,0,3
2794,NSW,Hydrogen Cell Vehicle,0,0,0
2794,NSW,Hybrid,57,86,122
2795,NSW,Internal Combustion Engine,35090,35827,36300
2795,NSW,Battery Electric Vehicle,5,21,49
2795,NSW,Hydrogen Cell Vehicle,0,0,0
2795,NSW,Hybrid,218,338,511
2797,NSW,Internal Combustion Engine,414,414,421
2797,NSW,Battery Electric Vehicle,0,0,0
2797,NSW,Hydrogen Cell Vehicle,0,0,0
2797,NSW,Hybrid,0,0,4
2798,NSW,Internal Combustion Engine,1914,1897,1919
2798,NSW,Battery Electric Vehicle,3,3,6
2798,NSW,Hydrogen Cell Vehicle,0,0,0
2798,NSW,Hybrid,13,21,30
2799,NSW,Internal Combustion Engine,3631,3688,3696
2799,NSW,Battery Electric Vehicle,0,3,3
2799,NSW,Hydrogen Cell Vehicle,0,0,0
2799,NSW,Hybrid,18,25,39
2800,NSW,Internal Combustion Engine,36830,37256,37716
2800,NSW,Battery Electric Vehicle,23,41,89
2800,NSW,Hydrogen Cell Vehicle,0,0,0
2800,NSW,Hybrid,291,445,648
2803,NSW,Internal Combustion Engine,345,314,314
2803,NSW,Battery Electric Vehicle,0,0,0
2803,NSW,Hydrogen Cell Vehicle,0,0,0
2803,NSW,Hybrid,4,3,5
2804,NSW,Internal Combustion Engine,2338,2410,2428
2804,NSW,Battery Electric Vehicle,3,0,3
2804,NSW,Hydrogen Cell Vehicle,0,0,0
2804,NSW,Hybrid,11,21,23
2805,NSW,Internal Combustion Engine,454,478,479
2805,NSW,Battery Electric Vehicle,0,0,0
2805,NSW,Hydrogen Cell Vehicle,0,0,0
2805,NSW,Hybrid,3,3,3
2806,NSW,Internal Combustion Engine,785,798,889
2806,NSW,Battery Electric Vehicle,0,0,0
2806,NSW,Hydrogen Cell Vehicle,0,0,0
2806,NSW,Hybrid,0,0,5
2807,NSW,Internal Combustion Engine,419,435,445
2807,NSW,Battery Electric Vehicle,0,0,0
2807,NSW,Hydrogen Cell Vehicle,0,0,0
2807,NSW,Hybrid,0,0,3
2808,NSW,Internal Combustion Engine,187,195,217
2808,NSW,Battery Electric Vehicle,0,0,0
2808,NSW,Hydrogen Cell Vehicle,0,0,0
2808,NSW,Hybrid,0,3,0
2809,NSW,Internal Combustion Engine,257,251,237
2809,NSW,Battery Electric Vehicle,0,0,0
2809,NSW,Hydrogen Cell Vehicle,0,0,0
2809,NSW,Hybrid,3,0,0
2810,NSW,Internal Combustion Engine,2704,2795,2796
2810,NSW,Battery Electric Vehicle,0,0,3
2810,NSW,Hydrogen Cell Vehicle,0,0,0
2810,NSW,Hybrid,11,20,27
2817,NSW,Internal Combustion Engine,131,153,163
2817,NSW,Battery Electric Vehicle,0,0,0
2817,NSW,Hydrogen Cell Vehicle,0,0,0
2817,NSW,Hybrid,3,0,3
2818,NSW,Internal Combustion Engine,584,629,676
2818,NSW,Battery Electric Vehicle,3,3,0
2818,NSW,Hydrogen Cell Vehicle,0,0,0
2818,NSW,Hybrid,0,3,0
2820,NSW,Internal Combustion Engine,5176,5153,5174
2820,NSW,Battery Electric Vehicle,3,3,0
2820,NSW,Hydrogen Cell Vehicle,0,0,0
2820,NSW,Hybrid,23,39,57
2821,NSW,Internal Combustion Engine,3763,3822,3932
2821,NSW,Battery Electric Vehicle,0,0,0
2821,NSW,Hydrogen Cell Vehicle,0,0,0
2821,NSW,Hybrid,13,23,30
2822,NSW,Internal Combustion Engine,253,277,328
2822,NSW,Battery Electric Vehicle,0,0,0
2822,NSW,Hydrogen Cell Vehicle,0,0,0
2822,NSW,Hybrid,0,0,3
2823,NSW,Internal Combustion Engine,1195,1214,1243
2823,NSW,Battery Electric Vehicle,0,0,0
2823,NSW,Hydrogen Cell Vehicle,0,0,0
2823,NSW,Hybrid,7,9,9
2824,NSW,Internal Combustion Engine,1956,1999,2034
2824,NSW,Battery Electric Vehicle,0,3,0
2824,NSW,Hydrogen Cell Vehicle,0,0,0
2824,NSW,Hybrid,14,28,36
2825,NSW,Internal Combustion Engine,1977,2017,2002
2825,NSW,Battery Electric Vehicle,0,0,0
2825,NSW,Hydrogen Cell Vehicle,0,0,0
2825,NSW,Hybrid,15,33,44
2826,NSW,Internal Combustion Engine,99,114,116
2826,NSW,Battery Electric Vehicle,0,0,0
2826,NSW,Hydrogen Cell Vehicle,0,0,0
2826,NSW,Hybrid,0,0,0
2827,NSW,Internal Combustion Engine,2930,2933,2971
2827,NSW,Battery Electric Vehicle,0,0,3
2827,NSW,Hydrogen Cell Vehicle,0,0,0
2827,NSW,Hybrid,18,27,37
2828,NSW,Internal Combustion Engine,628,611,632
2828,NSW,Battery Electric Vehicle,0,0,0
2828,NSW,Hydrogen Cell Vehicle,0,0,0
2828,NSW,Hybrid,4,5,7
2829,NSW,Internal Combustion Engine,2460,2460,2474
2829,NSW,Battery Electric Vehicle,0,0,0
2829,NSW,Hydrogen Cell Vehicle,0,0,0
2829,NSW,Hybrid,5,7,14
2830,NSW,Internal Combustion Engine,33882,34631,34900
2830,NSW,Battery Electric Vehicle,16,25,38
2830,NSW,Hydrogen Cell Vehicle,0,0,0
2830,NSW,Hybrid,372,588,856
2831,NSW,Internal Combustion Engine,2397,2384,2322
2831,NSW,Battery Electric Vehicle,0,0,0
2831,NSW,Hydrogen Cell Vehicle,0,0,0
2831,NSW,Hybrid,7,10,15
2832,NSW,Internal Combustion Engine,1855,1827,1900
2832,NSW,Battery Electric Vehicle,0,0,0
2832,NSW,Hydrogen Cell Vehicle,0,0,0
2832,NSW,Hybrid,6,11,15
2833,NSW,Internal Combustion Engine,386,369,395
2833,NSW,Battery Electric Vehicle,0,0,0
2833,NSW,Hydrogen Cell Vehicle,0,0,0
2833,NSW,Hybrid,3,3,5
2834,NSW,Internal Combustion Engine,1884,1846,1825
2834,NSW,Battery Electric Vehicle,0,0,0
2834,NSW,Hydrogen Cell Vehicle,0,0,0
2834,NSW,Hybrid,5,7,8
2835,NSW,Internal Combustion Engine,3018,3057,3055
2835,NSW,Battery Electric Vehicle,0,0,0
2835,NSW,Hydrogen Cell Vehicle,0,0,0
2835,NSW,Hybrid,6,6,14
2836,NSW,Internal Combustion Engine,461,465,473
2836,NSW,Battery Electric Vehicle,0,0,0
2836,NSW,Hydrogen Cell Vehicle,0,0,0
2836,NSW,Hybrid,0,3,0
2838,NSW,Internal Combustion Engine,81,85,102
2838,NSW,Battery Electric Vehicle,0,0,0
2838,NSW,Hydrogen Cell Vehicle,0,0,0
2838,NSW,Hybrid,3,3,3
2839,NSW,Internal Combustion Engine,771,747,717
2839,NSW,Battery Electric Vehicle,0,0,0
2839,NSW,Hydrogen Cell Vehicle,0,0,0
2839,NSW,Hybrid,0,3,8
2840,NSW,Internal Combustion Engine,1862,1839,1857
2840,NSW,Battery Electric Vehicle,0,0,0
2840,NSW,Hydrogen Cell Vehicle,0,0,0
2840,NSW,Hybrid,11,16,25
2842,NSW,Internal Combustion Engine,578,688,791
2842,NSW,Battery Electric Vehicle,0,0,0
2842,NSW,Hydrogen Cell Vehicle,0,0,0
2842,NSW,Hybrid,0,5,12
2843,NSW,Internal Combustion Engine,1076,1146,1109
2843,NSW,Battery Electric Vehicle,0,0,0
2843,NSW,Hydrogen Cell Vehicle,0,0,0
2843,NSW,Hybrid,0,5,12
2844,NSW,Internal Combustion Engine,1193,1190,1184
2844,NSW,Battery Electric Vehicle,0,0,0
2844,NSW,Hydrogen Cell Vehicle,0,0,0
2844,NSW,Hybrid,3,6,10
2845,NSW,Internal Combustion Engine,1637,1675,1730
2845,NSW,Battery Electric Vehicle,0,3,0
2845,NSW,Hydrogen Cell Vehicle,0,0,0
2845,NSW,Hybrid,6,12,19
2846,NSW,Internal Combustion Engine,345,345,334
2846,NSW,Battery Electric Vehicle,0,0,3
2846,NSW,Hydrogen Cell Vehicle,0,0,0
2846,NSW,Hybrid,0,3,3
2847,NSW,Internal Combustion Engine,2096,2158,2167
2847,NSW,Battery Electric Vehicle,0,0,0
2847,NSW,Hydrogen Cell Vehicle,0,0,0
2847,NSW,Hybrid,8,11,10
2848,NSW,Internal Combustion Engine,1350,1357,1386
2848,NSW,Battery Electric Vehicle,3,3,3
2848,NSW,Hydrogen Cell Vehicle,0,0,0
2848,NSW,Hybrid,3,4,8
2849,NSW,Internal Combustion Engine,1653,1671,1701
2849,NSW,Battery Electric Vehicle,0,0,0
2849,NSW,Hydrogen Cell Vehicle,0,0,0
2849,NSW,Hybrid,5,11,13
2850,NSW,Internal Combustion Engine,16327,16771,17076
2850,NSW,Battery Electric Vehicle,4,7,12
2850,NSW,Hydrogen Cell Vehicle,0,0,0
2850,NSW,Hybrid,79,127,191
2852,NSW,Internal Combustion Engine,3242,3225,3289
2852,NSW,Battery Electric Vehicle,0,3,0
2852,NSW,Hydrogen Cell Vehicle,0,0,0
2852,NSW,Hybrid,8,18,18
2864,NSW,Internal Combustion Engine,792,774,808
2864,NSW,Battery Electric Vehicle,0,0,0
2864,NSW,Hydrogen Cell Vehicle,0,0,0
2864,NSW,Hybrid,0,0,6
2865,NSW,Internal Combustion Engine,819,813,840
2865,NSW,Battery Electric Vehicle,0,0,0
2865,NSW,Hydrogen Cell Vehicle,0,0,0
2865,NSW,Hybrid,4,5,14
2866,NSW,Internal Combustion Engine,2600,2602,2612
2866,NSW,Battery Electric Vehicle,0,0,0
2866,NSW,Hydrogen Cell Vehicle,0,0,0
2866,NSW,Hybrid,12,26,41
2867,NSW,Internal Combustion Engine,492,492,521
2867,NSW,Battery Electric Vehicle,0,0,3
2867,NSW,Hydrogen Cell Vehicle,0,0,0
2867,NSW,Hybrid,0,3,4
2868,NSW,Internal Combustion Engine,588,608,603
2868,NSW,Battery Electric Vehicle,0,0,3
2868,NSW,Hydrogen Cell Vehicle,0,0,0
2868,NSW,Hybrid,0,0,3
2869,NSW,Internal Combustion Engine,1293,1279,1295
2869,NSW,Battery Electric Vehicle,0,0,0
2869,NSW,Hydrogen Cell Vehicle,0,0,0
2869,NSW,Hybrid,3,4,7
2870,NSW,Internal Combustion Engine,9594,9659,9612
2870,NSW,Battery Electric Vehicle,0,0,3
